rollout,reward
100,-2049
200,-1167
300,1997
400,1082
500,-126
600,-187
700,-2087
800,2803
900,-428
1000,4014
1100,-1548
1200,3686
1300,552
1400,2263
1500,733
1600,2961
1700,1920
1800,1561
1900,1312
2000,1912
2100,1363
2200,3715
2300,2508
2400,1622
2500,-117
2600,-208
2700,273
2800,1915
2900,553
3000,2005
3100,-587
3200,3263
3300,73
3400,1709
3500,-1509
3600,553
3700,-395
3800,-2049
3900,1961
4000,1263
4100,-568
4200,1283
4300,242
4400,-1518
4500,1952
4600,3113
4700,-1338
4800,3560
4900,-428
5000,2358
5100,1362
5200,-2236
5300,3563
5400,-158
5500,-1098
5600,2114
5700,2362
5800,368
5900,3112
6000,-1177
6100,-288
6200,1913
6300,93
6400,652
6500,2313
6600,3413
6700,-737
6800,-884
6900,1906
7000,-2147
7100,939
7200,702
7300,1822
